N	종목명	현재가	전일비	등락률	액면가	시가총액	상장주식수	외국인비율	거래량	PER	ROE	토론실
106,신세계,"236,500","3,000",+1.28%,"5,000","23,284","9,845",26.16,"107,834",-8.72,14.24,
107,하이트진로,"32,950",550,-1.64%,"5,000","23,109","70,134",10.19,"561,316",31.14,-3.86,
108,한샘,"97,200","2,400",-2.41%,"1,000","22,875","23,534",23.25,"98,754",43.74,7.32,
109,BGF리테일,"131,000",500,-0.38%,"1,000","22,642","17,284",31.39,"18,794",17.48,26.46,
110,팬오션,"4,175",120,-2.79%,"1,000","22,318","534,570",11.39,"5,391,137",16.50,5.49,
111,씨에스윈드,"128,000","4,000",+3.23%,500,"22,126","17,286",8.25,"373,616",52.39,9.92,
112,KODEX 200선물인버스2X,"3,240",35,-1.07%,0,"21,608","666,900",0.55,"169,600,162",N/A,N/A,
113,현대해상,"24,050",250,-1.03%,500,"21,501","89,400",40.52,"510,324",7.07,6.23,
114,일진머티리얼즈,"45,300",50,-0.11%,500,"20,888","46,111",7.95,"253,007",41.00,8.52,
115,현대차우,"85,400",300,-0.35%,"5,000","20,801","24,357",55.32,"77,340",20.41,N/A,
116,만도,"44,250","1,450",-3.17%,"1,000","20,779","46,957",23.95,"745,625",-37.47,7.55,
117,오뚜기,"552,000","3,000",-0.54%,"5,000","20,269","3,672",16.95,"5,584",18.65,7.79,
118,한화,"26,700",150,+0.56%,"5,000","20,014","74,959",19.39,"687,499",10.88,2.09,
119,KODEX 단기채권,"102,570",0,0.00%,0,"19,971","19,471",3.08,"11,812",N/A,N/A,
120,LS,"61,800","1,200",-1.90%,"5,000","19,900","32,200",11.91,"327,192",-45.74,0.80,
121,두산인프라코어,"9,050",180,-1.95%,"5,000","19,540","215,912",4.86,"9,880,433",11.68,11.59,
122,KODEX 레버리지,"18,615",265,+1.44%,0,"19,471","104,600",4.91,"62,547,857",N/A,N/A,
123,BNK금융지주,"5,960",50,-0.83%,"5,000","19,426","325,935",45.60,"1,439,133",3.72,7.07,
124,녹십자홀딩스,"40,300","1,250",-3.01%,500,"18,952","47,028",5.96,"5,105,617",57.24,0.37,
125,한화생명,"2,155",5,-0.23%,"5,000","18,717","868,530",7.96,"11,466,779",11.11,0.51,
126,한솔케미칼,"163,500",500,-0.30%,"5,000","18,468","11,295",35.39,"93,136",15.73,20.88,
127,한올바이오파마,"34,800","1,400",-3.87%,500,"18,180","52,241",6.97,"432,255",92.31,14.90,
128,현대미포조선,"45,300",200,-0.44%,"5,000","18,094","39,942",12.68,"719,858",30.28,2.31,
129,종근당,"163,000","7,000",-4.12%,"2,500","17,744","10,886",14.41,"225,812",18.42,11.94,
130,포스코인터내셔널,"14,350",0,0.00%,"5,000","17,704","123,375",15.50,"441,249",9.88,7.06,
131,농심,"289,500","2,500",-0.86%,"5,000","17,609","6,083",18.51,"52,689",12.99,3.72,
132,메리츠화재,"15,400",150,-0.96%,500,"17,507","113,680",11.40,"213,679",4.98,12.80,
133,KODEX 삼성그룹,"8,835",75,+0.86%,0,"17,484","197,900",0.02,"634,898",N/A,N/A,
134,LS ELECTRIC,"58,100",100,-0.17%,"5,000","17,430","30,000",14.25,"264,249",22.39,7.82,
135,현대로템,"15,850",150,+0.96%,"5,000","17,299","109,142",3.78,"1,830,156",-4.75,-37.93,
136,효성,"81,000","3,000",+3.85%,"5,000","17,068","21,071",5.91,"108,484",62.50,4.25,
137,현대오토에버,"80,700","2,200",-2.65%,500,"16,947","21,000",1.49,"120,727",29.48,11.71,
138,현대백화점,"71,700",300,+0.42%,"5,000","16,780","23,402",14.91,"202,884",13.26,4.64,
139,현대엘리베이,"40,800",50,+0.12%,"5,000","16,653","40,815",25.40,"219,057",18.27,5.22,
140,OCI,"68,500","2,000",+3.01%,"5,000","16,337","23,849",16.94,"533,869",-2.21,-26.20,
141,대한유화,"246,000","7,500",-2.96%,"5,000","15,990","6,500",15.10,"77,469",18.01,6.11,
142,부광약품,"23,950",500,-2.04%,500,"15,529","64,838",6.65,"493,011",556.98,-2.00,
143,DB하이텍,"34,600",150,-0.43%,"5,000","15,362","44,399",28.32,"447,465",9.34,17.40,
144,KCC,"171,000",0,0.00%,"5,000","15,196","8,886",11.62,"40,451",-542.86,-4.37,
145,롯데정밀화학,"58,100",500,+0.87%,"5,000","14,990","25,800",23.78,"158,956",8.76,11.73,
146,지누스,"103,000","3,700",+3.73%,500,"14,839","14,407",21.20,"106,437",18.74,26.32,
147,LG생활건강우,"706,000","1,000",+0.14%,"5,000","14,824","2,100",85.29,"4,447",15.82,N/A,
148,대우건설,"3,520",15,-0.42%,"5,000","14,630","415,623",8.54,"2,117,458",7.60,8.80,
149,KODEX 종합채권(AA-이상)액티브,"110,410",50,-0.05%,0,"14,609","13,232",0.00,"10,542",N/A,N/A,
150,NHN,"74,200",600,-0.80%,500,"14,517","19,565",11.10,"79,423",56.51,0.78,
151,한국테크놀로지그룹,"15,600",100,-0.64%,500,"14,511","93,020",6.41,"275,225",11.55,4.71,
152,영진약품,"7,770",230,-2.87%,500,"14,211","182,893",4.38,"2,384,613","-1,942.50",4.43,
153,영원무역,"31,250",250,-0.79%,500,"13,847","44,311",23.07,"109,865",8.46,9.82,
154,HDC현대산업개발,"20,900",250,+1.21%,"5,000","13,775","65,907",8.24,"946,033",2.96,20.30,
155,한화에어로스페이스,"27,150",250,-0.91%,"5,000","13,746","50,630",16.91,"418,136",12.84,5.45,
